Enter name of dump file: f got: fs, but expected |?
abaculus got: abaculuses, but expected |abaculi
abatvoix got: abatvoixes, but expected |abatvoix
abdomen got: abdomen, but expected |abdomens|abdomina
abomasum got: abomasums, but expected |abomasa
abroad got: abroads, but expected |?
mouse potato got: mouse potatos, but expected |es
absis got: abses, but expected |absides
Frankenstein complex got: Frankenstein complexs, but expected |es
Lemko got: Lemkoes, but expected 
one got: some, but expected 
two got: twoes, but expected 
CBE got: CBEs, but expected |?
DBE got: DBEs, but expected |?
KBE got: KBEs, but expected |?
FBI got: FBIs, but expected |?
i got: is, but expected |es
pseudo got: pseudoes, but expected 
cod got: cod, but expected 
os got: oses, but expected |ossa
peso got: pesoes, but expected 
centavo got: centavoes, but expected 
DOD got: DODs, but expected |?
derecho got: derechoes, but expected 
SMS got: SMSs, but expected |es
um got: ums, but expected |um
French got: Frenches, but expected |?
accomplice got: accomplice, but expected 
fuddy-duddy got: fuddy-duddys, but expected |fuddy-duddies
Congo got: Congoes, but expected 
it got: they, but expected 
gismu got: gismus, but expected |gismu
baglo got: bagloes, but expected 
paralipsis got: paralipses, but expected |paraleipses
secondo got: secondoes, but expected 
seven hundred and fifty got: seven hundred and fiftys, but expected |?
this got: these, but expected |es
bighorn sheep got: bighorn sheeps, but expected |?
handfish got: handfish, but expected |es
feet got: feet, but expected |?
her got: them, but expected 
BX got: BXs, but expected |?
fish got: fish, but expected |es
mikado got: mikadoes, but expected 
amontillado got: amontilladoes, but expected 
that got: those, but expected 
mine got: ours, but expected 
dye got: dyes, but expected |dice
moose got: moose, but expected 
fennec fox got: fennec foxs, but expected |es
computer graphics got: computer graphicses, but expected |?
SQL got: SQLs, but expected |?
RS got: RSs, but expected |?
AB got: ABs, but expected |?
NB got: NBs, but expected |?
HG got: HGs, but expected |?
so got: soes, but expected 
vers got: verses, but expected |?
vox populi got: vox populis, but expected |?
he got: they, but expected 
she got: they, but expected 
him got: them, but expected 
pyramis got: pyramises, but expected |pyramides
who got: whoes, but expected 
credendum got: credendums, but expected |credenda
roach got: roaches, but expected |roach
handi-craftsman got: handi-craftsmans, but expected |head=[[handi]]-[[craftsman]]|handi-craftsmen
haj got: hajs, but expected |es
hajj got: hajjs, but expected |hajjes
lose got: loses, but expected |?
chamois got: chamoises, but expected |chamois
do got: does, but expected 
chat got: chats, but expected |?
luz got: luzzes, but expected |?
rato got: ratoes, but expected 
kami got: kamis, but expected |kami
Madras got: Madrases, but expected |?
man-o-war got: man-o-wars, but expected |head=[[man]]-o-[[war]]|men-o-war
accused got: accuseds, but expected |accused
science got: sciences, but expected |?
ber got: bers, but expected |ber
drank got: dranks, but expected |?
fallen got: fallens, but expected |fallen
found got: founds, but expected |?
e.g. got: e.g.s, but expected |?
why got: whies, but expected 
comb-over got: combs-over, but expected |head=[[comb]]-[[over]]
redo got: redoes, but expected 
sold got: solds, but expected |?
sent got: sents, but expected |senti
undo got: undoes, but expected 
won got: wons, but expected |won
zucchetto got: zucchettoes, but expected 
bi got: bis, but expected |bi
by got: bies, but expected 
bitters got: bitterses, but expected |bitters
GNP got: GNPs, but expected |?
bacteria got: bacteria, but expected |bacteriae
vel got: vels, but expected |?
CSS got: CSSs, but expected |?
true got: trues, but expected |?
monarch got: monarches, but expected 
daimyo got: daimyoes, but expected |daimyo|daimyos
wakizashi got: wakizashis, but expected |wakizashi
tanto got: tantoes, but expected 
bo got: boes, but expected 
o- got: o-s, but expected |?
l got: ls, but expected |?
n got: ns, but expected |?
q got: qs, but expected |?
u got: us, but expected |ues
w got: ws, but expected |?
romaji got: romajis, but expected |romaji
ese got: eses, but expected |?
pinyin got: pinyins, but expected |pinyin
x-axis got: x-axises, but expected |x-axes
seiyuu got: seiyuus, but expected |seiyuu
dojo got: dojoes, but expected |s|dojo
tenno got: tennoes, but expected 
hanja got: hanjas, but expected |hanja
hanzi got: hanzis, but expected |hanzi
simple past got: simples past, but expected 
pyrena got: pyrenas, but expected |pyrenae
teek got: teeks, but expected |?
loch got: loches, but expected 
maselyn got: maselyns, but expected |maselyn
crema got: cremas, but expected |?
Hispano got: Hispanoes, but expected 
latino got: latinoes, but expected 
pomme got: pommes, but expected |?
abomasus got: abomasuses, but expected |abomasi
put down got: puts down, but expected 
put out got: puts out, but expected 
hang-by got: hangs-by, but expected |s|hang-bies
kick around got: kicks around, but expected 
hold out got: holds out, but expected 
otto got: ottoes, but expected 
obi got: obis, but expected |obi
downstairs got: downstairses, but expected |downstairs
handcraft got: handcraft, but expected 
dino got: dinoes, but expected 
assoc. got: assoc.s, but expected |?
standard of care got: standards of care, but expected |?
gaku-ran got: gaku-rans, but expected |?
burden of production got: burdens of production, but expected |?
burden of persuasion got: burdens of persuasion, but expected |?
commercial at got: commercials at, but expected 
ave. got: ave.s, but expected |?
rd got: rds, but expected |?
pt. got: pt.s, but expected |?
ln got: lns, but expected |?
Muganda got: Mugandas, but expected |?
blvd. got: blvd.s, but expected |?
palladium got: palladiums, but expected |palladia
tellurium got: telluriums, but expected |?
accelerando got: accelerandoes, but expected 
links got: linkses, but expected |links
co got: coes, but expected 
Br got: Brs, but expected |?
sp got: sps, but expected |?
sn got: sns, but expected |?
escudo got: escudoes, but expected 
krona got: kronas, but expected |kronor
vacuüm got: vacuüms, but expected |vacua
P.O. got: P.O.s, but expected |?
